,Station,Site,Parameter,Method,Lat,Lon,Date,Measurement,Unit,Event Type
19804,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-07-27,14.0,Micrograms/cubic meter (25 C),None
19805,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-07-27,14.458333,Micrograms/cubic meter (25 C),None
19802,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-07-28,9.0,Micrograms/cubic meter (25 C),None
19803,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-07-28,9.375,Micrograms/cubic meter (25 C),None
19800,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-07-29,10.0,Micrograms/cubic meter (25 C),None
19801,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-07-29,10.333333,Micrograms/cubic meter (25 C),None
19798,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-07-30,13.0,Micrograms/cubic meter (25 C),None
19799,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-07-30,13.416667,Micrograms/cubic meter (25 C),None
19796,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-07-31,11.0,Micrograms/cubic meter (25 C),None
19797,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-07-31,11.5,Micrograms/cubic meter (25 C),None
19794,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-01,18.0,Micrograms/cubic meter (25 C),None
19795,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-01,18.041667,Micrograms/cubic meter (25 C),None
19792,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-02,13.0,Micrograms/cubic meter (25 C),None
19793,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-02,13.583333,Micrograms/cubic meter (25 C),None
19790,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-03,9.0,Micrograms/cubic meter (25 C),None
19791,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-03,9.041667,Micrograms/cubic meter (25 C),None
19788,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-04,8.0,Micrograms/cubic meter (25 C),None
19789,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-04,8.875,Micrograms/cubic meter (25 C),None
19786,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-05,7.0,Micrograms/cubic meter (25 C),None
19787,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-05,7.416667,Micrograms/cubic meter (25 C),None
19784,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-06,20.0,Micrograms/cubic meter (25 C),None
19785,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-06,20.083333,Micrograms/cubic meter (25 C),None
19782,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-07,19.0,Micrograms/cubic meter (25 C),None
19783,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-07,19.0,Micrograms/cubic meter (25 C),None
19780,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-08,21.0,Micrograms/cubic meter (25 C),None
19781,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-08,21.727273,Micrograms/cubic meter (25 C),None
19779,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-09,28.583333,Micrograms/cubic meter (25 C),None
19778,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-12,8.1,Micrograms/cubic meter (25 C),None
19776,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-13,6.0,Micrograms/cubic meter (25 C),None
19777,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-13,6.375,Micrograms/cubic meter (25 C),None
19774,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-14,15.0,Micrograms/cubic meter (25 C),None
19775,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-14,15.458333,Micrograms/cubic meter (25 C),None
19772,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-15,11.0,Micrograms/cubic meter (25 C),None
19773,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-15,11.291667,Micrograms/cubic meter (25 C),None
19770,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-16,12.0,Micrograms/cubic meter (25 C),None
19771,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-16,12.125,Micrograms/cubic meter (25 C),None
19768,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-17,9.0,Micrograms/cubic meter (25 C),None
19769,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-17,9.0,Micrograms/cubic meter (25 C),None
19766,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-18,9.0,Micrograms/cubic meter (25 C),None
19767,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-18,9.625,Micrograms/cubic meter (25 C),None
19764,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-19,9.0,Micrograms/cubic meter (25 C),None
19765,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-19,9.583333,Micrograms/cubic meter (25 C),None
19762,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-20,3.0,Micrograms/cubic meter (25 C),None
19763,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-20,3.958333,Micrograms/cubic meter (25 C),None
19760,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-21,8.0,Micrograms/cubic meter (25 C),None
19761,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-21,8.791667,Micrograms/cubic meter (25 C),None
19758,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-22,9.0,Micrograms/cubic meter (25 C),None
19759,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-22,9.333333,Micrograms/cubic meter (25 C),None
19756,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-23,10.0,Micrograms/cubic meter (25 C),None
19757,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-23,10.75,Micrograms/cubic meter (25 C),None
19754,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-24,5.0,Micrograms/cubic meter (25 C),None
19755,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-24,5.625,Micrograms/cubic meter (25 C),None
19752,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-25,5.0,Micrograms/cubic meter (25 C),None
19753,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-25,5.583333,Micrograms/cubic meter (25 C),None
19750,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-26,8.0,Micrograms/cubic meter (25 C),None
19751,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-26,8.666667,Micrograms/cubic meter (25 C),None
19748,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-27,12.0,Micrograms/cubic meter (25 C),None
19749,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-27,12.541667,Micrograms/cubic meter (25 C),None
19746,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-28,11.0,Micrograms/cubic meter (25 C),None
19747,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-28,11.5,Micrograms/cubic meter (25 C),None
19744,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-29,13.0,Micrograms/cubic meter (25 C),None
19745,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-29,13.541667,Micrograms/cubic meter (25 C),None
19742,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-30,5.0,Micrograms/cubic meter (25 C),None
19743,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-30,5.291667,Micrograms/cubic meter (25 C),None
19740,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-31,5.0,Micrograms/cubic meter (25 C),None
19741,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-08-31,5.166667,Micrograms/cubic meter (25 C),None
19738,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-01,13.0,Micrograms/cubic meter (25 C),None
19739,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-01,13.5,Micrograms/cubic meter (25 C),None
19736,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-02,17.0,Micrograms/cubic meter (25 C),None
19737,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-02,17.791667,Micrograms/cubic meter (25 C),None
19734,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-03,12.0,Micrograms/cubic meter (25 C),None
19735,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-03,12.916667,Micrograms/cubic meter (25 C),None
19732,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-04,16.0,Micrograms/cubic meter (25 C),None
19733,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-04,16.833333,Micrograms/cubic meter (25 C),None
19730,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-05,27.0,Micrograms/cubic meter (25 C),None
19731,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-05,27.041667,Micrograms/cubic meter (25 C),None
19728,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-06,25.0,Micrograms/cubic meter (25 C),None
19729,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-06,25.416667,Micrograms/cubic meter (25 C),None
19726,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-07,20.0,Micrograms/cubic meter (25 C),None
19727,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-07,20.375,Micrograms/cubic meter (25 C),None
19724,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-08,15.0,Micrograms/cubic meter (25 C),None
19725,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-08,15.473684,Micrograms/cubic meter (25 C),None
19722,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-09,14.0,Micrograms/cubic meter (25 C),None
19723,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-09,14.791667,Micrograms/cubic meter (25 C),None
19720,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-10,15.0,Micrograms/cubic meter (25 C),None
19721,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-10,15.541667,Micrograms/cubic meter (25 C),None
19718,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-11,17.0,Micrograms/cubic meter (25 C),None
19719,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-11,17.958333,Micrograms/cubic meter (25 C),None
19716,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-12,16.0,Micrograms/cubic meter (25 C),None
19717,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-12,16.625,Micrograms/cubic meter (25 C),None
19714,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-13,15.0,Micrograms/cubic meter (25 C),None
19715,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-13,15.0,Micrograms/cubic meter (25 C),None
19712,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-14,11.0,Micrograms/cubic meter (25 C),None
19713,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-14,11.875,Micrograms/cubic meter (25 C),None
19710,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-15,13.0,Micrograms/cubic meter (25 C),None
19711,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-15,13.916667,Micrograms/cubic meter (25 C),None
19708,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-16,11.0,Micrograms/cubic meter (25 C),None
19709,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-16,11.625,Micrograms/cubic meter (25 C),None
19706,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-17,10.0,Micrograms/cubic meter (25 C),None
19707,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-17,10.208333,Micrograms/cubic meter (25 C),None
19704,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-18,7.0,Micrograms/cubic meter (25 C),None
19705,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-18,7.458333,Micrograms/cubic meter (25 C),None
19702,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-19,9.0,Micrograms/cubic meter (25 C),None
19703,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-19,9.458333,Micrograms/cubic meter (25 C),None
19700,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-20,7.0,Micrograms/cubic meter (25 C),None
19701,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-20,7.708333,Micrograms/cubic meter (25 C),None
19698,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-21,7.0,Micrograms/cubic meter (25 C),None
19699,0001,Cloverdale,PM10 Total 0-10um STP,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,38.804267,-123.018142,2014-09-21,7.166667,Micrograms/cubic meter (25 C),None
3938,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-07-27,0.3,Parts per million,None
3939,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-07-27,0.286957,Parts per million,None
3936,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-07-28,0.2875,Parts per million,None
3937,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-07-28,0.277273,Parts per million,None
3934,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-07-29,0.275,Parts per million,None
3935,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-07-29,0.286957,Parts per million,None
3932,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-07-30,0.283333,Parts per million,None
3933,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-07-30,0.286957,Parts per million,None
3930,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-07-31,0.3,Parts per million,None
3931,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-07-31,0.291304,Parts per million,None
3928,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-01,0.308333,Parts per million,None
3929,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-01,0.308696,Parts per million,None
3926,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-02,0.3,Parts per million,None
3927,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-02,0.3,Parts per million,None
3924,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-03,0.3,Parts per million,None
3925,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-03,0.295652,Parts per million,None
3922,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-04,0.3,Parts per million,None
3923,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-04,0.268182,Parts per million,None
3920,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-05,0.291667,Parts per million,None
3921,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-05,0.304348,Parts per million,None
3918,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-06,0.370833,Parts per million,None
3919,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-06,0.343478,Parts per million,None
3916,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-07,0.275,Parts per million,None
3917,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-07,0.273913,Parts per million,None
3914,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-08,0.283333,Parts per million,None
3915,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-08,0.282609,Parts per million,None
3912,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-09,0.295833,Parts per million,None
3913,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-09,0.269565,Parts per million,None
3910,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-10,0.2625,Parts per million,None
3911,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-10,0.269565,Parts per million,None
3908,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-11,0.3,Parts per million,None
3909,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-11,0.275,Parts per million,None
3906,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-12,0.225,Parts per million,None
3907,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-12,0.227273,Parts per million,None
3904,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-13,0.229412,Parts per million,None
3905,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-13,0.23,Parts per million,None
3902,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-14,0.220833,Parts per million,None
3903,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-14,0.226087,Parts per million,None
3900,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-15,0.270833,Parts per million,None
3901,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-15,0.278261,Parts per million,None
3898,0001,San Rafael,Carbon monoxide,INSTRUMENTAL - NONDISPERSIVE INFRARED,37.97231,-122.520004,2014-08-16,0.270833,Parts per million,None
